Nome,Email,Telefone,CPF,Protecoes
Gustavo Henrique,henrique@dreambricks.com,(11) 95090-5999,010.010.010-10,"['bike', 'celular', 'residencial']"
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Gustavo14h40,ehsjsn@sjem.com,(00) 00000-0000,010.010.010-10,"['viagem', 'bike', 'residencial']"
Gustavo 14h41,jdisns@hdbd.com,(00) 00000-0000,010.010.010-10,"['saude', 'residencial']"
Gustavo15h,nfdisk@jdejdn,(00) 00000-0000,010.010.010-10,"['bike', 'celular', 'residencial', 'emprestimo']"
Gustavo15h01,ndjdn@kend,(00) 00000-0000,010.010.010-10,"['saude', 'celular', 'residencial', 'emprestimo']"
Gustavo15h01,ndjdn@kend,(00) 00000-0000,010.010.010-10,"['saude', 'celular', 'residencial', 'emprestimo']"
Gustavo15h02,gdjsbs@ksnd,(00) 00000-0000,010.010.010-10,"['viagem', 'saude']"
Gustavo15h04,gdusbi@jdbdn,(00) 00000-0000,010.010.010-10,['saude']
Gustavo15h07,ndjsnsj@jdnskz,(00) 00000-0000,010.010.010-10,"['viagem', 'saude']"
Ze,dd@gmail.com,(11) 93737-2598,010.010.010-10,[]
Titaman ,cybernerds@gmail.com,(11) 97482-2888,010.010.010-10,['celular']
Ti😄,cybernerds@gmail.com,(11) 94111-1111,010.010.010-10,['celular']
Titaman ,cybernerds@gmail.com,(11) 19577-5784,010.010.010-10,['viagem']
Gustavo16h12,hdisjs@kdjdn,(00) 00000-0000,010.010.010-10,"['viagem', 'saude', 'bike', 'celular', 'residencial', 'emprestimo']"
Gustavo16h21,bsjejsn@sjwbsb,(00) 00000-0000,010.010.010-10,"['saude', 'bike', 'emprestimo']"
Gustavo16h23,gugsbsjs@ghn,(00) 00000-0000,010.010.010-10,"['saude', 'celular', 'emprestimo']"
Gustavo16h30,nxudvfh@jdejsn,(00) 00000-0000,010.010.010-10,"['viagem', 'saude', 'bike']"
Gustavo16h32,bxhssjsj@jsiwwkm,(00) 00000-0000,010.010.010-10,"['viagem', 'saude', 'emprestimo']"
GustavoUltimaDoDia,gugagames@games.com,(69) 69696-9696,010.010.010-10,"['saude', 'celular', 'emprestimo']"
Dudu,iz@gmail.com,(11) 95858-5888,010.010.010-10,[]
Waldemar,wm@gmail.com,(11) 99885-8248,010.010.010-10,[]
Itaipaiva,itp@gmail.com,(11) 94528-7555,010.010.010-10,[]
Gustavo13h41,xbdjsj@sjsnwb,(00) 00000-0000,010.010.010-10,['saude']
Gustavo ,jdsjsn@jsdb,(00) 00000-0000,010.010.010-10,"['saude', 'residencial', 'emprestimo']"
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Junior,juninho@gmail.com,(11) 95563-2568,010.010.010-10,"['celular', 'emprestimo']"
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Admin,admin,None,None,None
Daniel,email@email.com,(11) 99435-9444,368.716.288-51,"['saude', 'emprestimo']"
Daniel,email@email.com,(11) 99435-9444,368.716.288-51,"['saude', 'residencial']"
Daniel,dfgg@dfgg.com,(11) 99435-9444,368.716.288-51,"['bike', 'celular']"
Daniel,fgfcd@gffg.com,(11) 99435-9444,368.716.288-51,"['viagem', 'bike', 'residencial']"
Daniel,fgfd@dff.com,(11) 99435-9444,368.716.288-51,"['saude', 'residencial']"
Dudu,iz@dudu.com,(11) 96633-3322,010.010.010-10,[]
